Crime ID,Month,Reported by,Falls within,Longitude,Latitude,Location,LSOA code,LSOA name,Outcome type
b466ed98f60835f379377cda209f72a65f4b594d64b8a608932b60fe34e3a0a1,2023-02,Metropolitan Police Service,Metropolitan Police Service,-0.530681,50.804178,On or near SOUTH PASSAGE,E01031400,Arun 011A,Investigation complete; no suspect identified
a3d980f554d3ece9e8dcda8518ae87bfa9c75d62396105d63fd10390eb7879ed,2023-02,Metropolitan Police Service,Metropolitan Police Service,-0.772051,51.827897,On or near Restharrow Road,E01017641,Aylesbury Vale 007A,Investigation complete; no suspect identified
6df06c760c3a3003aad90b3db15711f7a2118b7f0ca998b65c66f10f7e1f209e,2023-02,Metropolitan Police Service,Metropolitan Police Service,-0.833412,51.825905,On or near Hanover Close,E01017708,Aylesbury Vale 012D,Investigation complete; no suspect identified
7ff497180de0ea3a0fd27c08912b8e54adf8d222bb68de20e67be68a300af2da,2023-02,Metropolitan Police Service,Metropolitan Police Service,-0.812027,51.802619,On or near COTTESLOE ROAD,E01017710,Aylesbury Vale 018B,Investigation complete; no suspect identified
e14417b475626eca5fd230f486ef370500a0cc952f617a6fb10e9447fc2fde0a,2023-02,Metropolitan Police Service,Metropolitan Police Service,0.847279,52.035667,On or near THE WINTHROPS,E01029875,Babergh 009A,Investigation complete; no suspect identified
b02be660b5fe564c95d455aac6920712d5b8c36ef260376dff1b1047a48e7fdc,2023-02,Metropolitan Police Service,Metropolitan Police Service,0.135579,51.584913,On or near Rose Lane,E01000027,Barking and Dagenham 001A,Investigation complete; no suspect identified
090b8a641107becc12ebce4e9a10e691030209a7344c58d4ab3187713da361f2,2023-02,Metropolitan Police Service,Metropolitan Police Service,0.12781,51.584227,On or near Hope Close,E01000028,Barking and Dagenham 001B,Investigation complete; no suspect identified
5b82411c06a59a3ff8aea20f26e0f7bdc626fb8d63dd9607c45c07564382f672,2023-02,Metropolitan Police Service,Metropolitan Police Service,0.133611,51.578951,On or near Portland Gardens,E01000029,Barking and Dagenham 001C,Investigation complete; no suspect identified
9a41ea7ec6cd41df718477a755dd4046cce3f8557aeaadfb6fe2bbe9b8286156,2023-02,Metropolitan Police Service,Metropolitan Police Service,0.141023,51.584958,On or near Bakery Close,E01000030,Barking and Dagenham 001D,Investigation complete; no suspect identified
bdf7250c7f5a7daa01492de214382236ac94a94eb246dc9fc09fbb2cfe04ea72,2023-02,Metropolitan Police Service,Metropolitan Police Service,0.141417,51.574915,On or near Millbrook Gardens,E01000031,Barking and Dagenham 002A,Investigation complete; no suspect identified
