Ethnic group (20 categories),Observation
Asian/ Asian British or Asian Welsh: Bangladeshi,322054
Asian/ Asian British or Asian Welsh: Chinese,147520
Asian/ Asian British or Asian Welsh: Indian,656272
Asian/ Asian British or Asian Welsh: Pakistani,290549
Asian/ Asian British or Asian Welsh: Other Asian,401245
Black/ Black British/ Black Welsh/ Caribbean or African: African,697054
Black/ Black British/ Black Welsh/ Caribbean or African: Caribbean,345405
Black/ Black British/ Black Welsh/ Caribbean or African: Other Black,145911
Mixed or Multiple ethnic groups: White and Asian,125188
Mixed or Multiple ethnic groups: White and Black African,77341
Mixed or Multiple ethnic groups: White and Black Caribbean,132555
Mixed or Multiple ethnic groups: Other Mixed or Multiple ethnic groups,170691
White: English/ Welsh/ Scottish/ Northern Irish or British,3239281
